"date_naissance","pays","age","genre","education","statut_marital","syndicat","revenu","religion","immigration","region","int_pol","eff_interne","att_elites","att_autres_groupes","opinion_nation","perc_corruption","perf_gov","part_electorale","vote_sortant","gauche_droite","satisf_demo","id_partisane"
1960,"Austria",57,0,4,"couple",0,3,1,0,"village",2,3,4,2,11,4,2,1,NA,1,3,0
1994,"Austria",23,1,4,"celibataire",0,2,0,0,"village",1,5,8,4,8,4,NA,1,0,2,4,0
1947,"Austria",70,0,4,"couple",0,2,1,0,"banlieue",4,2,5,14,5,3,NA,1,0,3,4,0
1955,"Austria",62,1,4,"couple",0,2,0,0,"village",3,5,14,7,4,NA,NA,1,1,3,4,1
1943,"Austria",74,0,4,"couple",0,2,1,0,"banlieue",2,2,13,8,4,2,4,1,1,3,4,1
1961,"Austria",56,0,4,"couple",0,4,1,1,"banlieue",1,5,NA,NA,5,1,2,1,1,3,4,1
1962,"Austria",55,1,4,"couple",0,3,1,0,"village",4,5,14,14,8,2,3,1,1,3,4,1
1967,"Austria",50,0,4,"couple",1,2,0,1,"village",1,2,NA,4,6,4,2,1,1,3,1,0
1939,"Austria",78,1,3,"couple",0,3,1,0,"village",4,5,6,3,11,4,1,1,1,3,3,0
1967,"Austria",50,1,4,"couple",1,3,0,0,"village",4,3,9,9,4,4,3,1,1,3,1,1
1978,"Austria",39,1,4,"couple",1,NA,1,1,"banlieue",4,5,22,15,3,NA,2,1,0,3,4,1
1966,"Austria",51,0,8,"celibataire",0,4,0,1,"village",3,5,8,15,5,4,2,1,0,3,1,1
1992,"Austria",25,1,6,"celibataire",0,1,1,1,"village",2,5,18,15,3,2,3,1,1,3,NA,1
1976,"Austria",41,1,4,"separe",1,5,0,0,"grande ville",3,5,18,9,3,4,2,1,1,3,3,1
1993,"Austria",24,1,4,"celibataire",1,1,1,1,"banlieue",3,5,15,11,3,2,3,1,0,3,4,0
1994,"Austria",23,1,4,"celibataire",0,1,0,0,"petite ville",2,3,12,14,4,2,2,1,1,4,4,0
1943,"Austria",74,0,4,"couple",0,4,1,0,"village",3,4,14,17,8,3,3,1,1,4,3,1
1964,"Austria",53,1,3,"couple",1,3,0,0,"petite ville",2,5,4,2,5,4,2,1,1,4,4,1
1983,"Austria",34,1,8,"celibataire",0,NA,0,0,"banlieue",3,5,7,13,4,4,2,1,0,4,1,0
1955,"Austria",62,0,4,"separe",0,3,0,1,"village",1,5,5,10,6,4,2,1,1,4,1,1
1945,"Austria",72,1,4,"couple",0,4,1,0,"village",3,5,7,3,7,3,NA,1,1,4,NA,0
1951,"Austria",66,0,4,"separe",0,1,1,1,"village",1,2,2,5,6,4,1,1,1,4,NA,1
1997,"Austria",20,1,4,"celibataire",0,NA,1,1,"grande ville",4,5,16,NA,NA,1,2,1,0,4,3,1
1963,"Austria",54,0,4,"couple",1,4,0,1,"village",2,5,9,NA,3,NA,NA,1,1,4,4,1
1951,"Austria",66,0,4,"couple",0,3,0,1,"grande ville",1,5,12,10,3,1,3,1,1,4,4,0
1956,"Austria",61,1,4,"couple",0,5,0,0,"village",3,5,21,14,3,2,2,1,1,4,3,0
1939,"Austria",78,1,9,"couple",0,5,0,1,"grande ville",4,5,6,5,6,2,2,1,1,5,4,0
1976,"Austria",41,0,4,"separe",1,2,1,0,"petite ville",2,5,11,10,9,3,NA,1,0,5,3,0
1966,"Austria",51,1,3,"couple",0,4,0,0,"village",3,5,1,0,11,3,1,1,NA,5,3,0
1995,"Austria",22,1,4,"celibataire",0,NA,0,1,"petite ville",3,5,9,NA,6,2,3,1,1,5,3,0
1964,"Austria",53,1,4,"celibataire",0,4,0,0,"grande ville",3,5,3,3,10,3,1,1,0,5,3,1
1944,"Austria",73,0,4,"separe",0,2,1,1,"banlieue",1,4,6,0,7,3,NA,1,1,5,NA,0
1995,"Austria",22,1,4,"celibataire",0,NA,0,0,"village",2,3,NA,0,9,3,1,1,0,5,NA,0
1963,"Austria",54,1,7,"separe",1,4,0,1,"banlieue",2,4,9,6,9,3,2,1,1,5,3,0
1946,"Austria",71,0,4,"couple",0,5,0,0,"banlieue",1,3,5,4,5,3,NA,1,1,5,1,0
1946,"Austria",71,1,4,"couple",0,5,0,0,"petite ville",4,5,8,6,11,2,1,1,1,5,1,1
1978,"Austria",39,0,6,"couple",0,3,0,1,"village",2,3,NA,9,6,4,2,1,0,5,3,0
1975,"Austria",42,0,6,"couple",1,4,1,0,"village",2,4,7,11,4,2,3,1,1,5,3,0
1950,"Austria",67,0,3,"couple",0,2,1,0,"village",1,1,9,2,11,3,NA,1,NA,5,4,0
1971,"Austria",46,0,4,"couple",0,3,1,0,"village",2,5,15,NA,9,1,2,0,NA,5,3,1
1965,"Austria",52,0,4,"couple",0,4,1,0,"village",2,5,5,8,5,4,1,1,1,5,NA,0
1993,"Austria",24,1,4,"celibataire",1,2,0,1,"petite ville",2,3,NA,NA,4,4,NA,1,0,5,NA,0
1948,"Austria",69,0,4,"couple",0,5,0,0,"grande ville",1,2,NA,NA,10,4,2,1,1,5,NA,0
1992,"Austria",25,0,4,"couple",0,4,1,1,"banlieue",2,2,6,8,6,3,NA,1,1,5,4,0
1969,"Austria",48,0,4,"couple",0,NA,1,0,"banlieue",3,5,4,4,8,NA,2,1,0,5,1,0
1962,"Austria",55,1,4,"couple",0,5,0,0,"village",4,5,7,3,6,4,1,1,0,5,1,1
1969,"Austria",48,0,4,"celibataire",1,3,1,0,"village",1,4,NA,6,5,3,NA,1,1,5,4,0
1955,"Austria",62,1,4,"couple",1,3,0,0,"grande ville",3,4,17,14,3,2,2,1,1,5,3,1
1964,"Austria",53,0,4,"couple",0,1,0,0,"village",4,4,0,7,7,4,1,1,0,5,NA,1
1938,"Austria",79,0,3,"couple",0,1,1,0,"village",2,3,NA,3,9,3,2,1,1,5,4,1
